institution_name,institution_display_name,parent_organization,work_unit,location_hint,target_level,total_relevant_packages,total_pagu,months_found,relevant_categories,official_website,contact_email,contact_phone,contact_person,contact_role,contact_source_url,contact_source_type,contact_notes
Dinas Perikanan,Dinas Perikanan — Kab. Muara Enim,Kab. Muara Enim,Dinas Perikanan,"Sumatera Selatan, Muara Enim (Kab.)",LOCAL_AGENCY,37,1027785460,June 2026; May 2026,CAMERA_VIDEO; DESKTOP; IT_HARDWARE; OFFICE_FURNITURE; PRINTER; SCANNER; STORAGE,,,,,,,,
Inspektorat,Inspektorat — Kab. Lingga,Kab. Lingga,Inspektorat,"Kepulauan Riau, Lingga (Kab.)",LOCAL_AGENCY,36,1360480676,June 2026; May 2026,AUDIO; CCTV; DESKTOP; IT_HARDWARE; NETWORKING; OFFICE_FURNITURE; PRINTER; SCANNER,,,,,,,,
DINAS SOSIAL,DINAS SOSIAL — Kota Depok,Kota Depok,DINAS SOSIAL,"Jawa Barat, Depok (Kota)",LOCAL_AGENCY,36,871941151,June 2026; May 2026,AUDIO; CCTV; DESKTOP; IT_HARDWARE; LAPTOP; NETWORKING; OFFICE_FURNITURE; PRINTER,,,,,,,,
Badan Kepegawaian dan Pengembangan Sumber Daya Manusia,Badan Kepegawaian dan Pengembangan Sumber Daya Manusia — Kab. Jombang,Kab. Jombang,Badan Kepegawaian dan Pengembangan Sumber Daya Manusia,"Jawa Timur, Jombang (Kab.)",LOCAL_AGENCY,33,1778028505,June 2026; May 2026,CAMERA_VIDEO; CCTV; DESKTOP; IT_HARDWARE; LAPTOP; NETWORKING; OFFICE_FURNITURE; PRINTER; SCANNER,,,,,,,,
Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu,Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu — Kota Ambon,Kota Ambon,Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu,"Maluku, Ambon (Kota)",LOCAL_AGENCY,33,807868133,June 2026; May 2026,DESKTOP; IT_HARDWARE; LAPTOP; NETWORKING; OFFICE_FURNITURE; UPS,,,,,,,,
Dinas Pemuda dan Olahraga,Dinas Pemuda dan Olahraga — Kota Medan,Kota Medan,Dinas Pemuda dan Olahraga,"Sumatera Utara, Medan (Kota)",LOCAL_AGENCY,32,5144117203,June 2026; May 2026,AUDIO; CAMERA_VIDEO; DESKTOP; IT_HARDWARE; LAPTOP; NETWORKING; OFFICE_FURNITURE,,,,,,,,
BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA,BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA — Kab. Kendal,Kab. Kendal,BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA,"Jawa Tengah, Kendal (Kab.)",LOCAL_AGENCY,31,1032210854,June 2026; May 2026,DESKTOP; IT_HARDWARE; OFFICE_FURNITURE; PRINTER,,,,,,,,
Satuan Polisi Pamong Praja,Satuan Polisi Pamong Praja — Kab. Bangli,Kab. Bangli,Satuan Polisi Pamong Praja,"Bali, Bangli (Kab.)",LOCAL_AGENCY,31,673678886,June 2026; May 2026,AUDIO; CAMERA_VIDEO; DESKTOP; IT_HARDWARE; LAPTOP; NETWORKING; OFFICE_FURNITURE; PRINTER; STORAGE,,,,,,,,
BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH,BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH — Kota Denpasar,Kota Denpasar,BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH,"Bali, Denpasar (Kota)",LOCAL_AGENCY,30,1267651665,June 2026; May 2026,AUDIO; DESKTOP; IT_HARDWARE; LAPTOP; OFFICE_FURNITURE; PRINTER,,,,,,,,
Dinas Perpustakaan dan Kearsipan,Dinas Perpustakaan dan Kearsipan — Kota Bukittinggi,Kota Bukittinggi,Dinas Perpustakaan dan Kearsipan,"Sumatera Barat, Bukit Tinggi (Kota)",LOCAL_AGENCY,30,1152062217,June 2026; May 2026,AUDIO; CCTV; DESKTOP; IT_HARDWARE; LAPTOP; NETWORKING; OFFICE_FURNITURE; SCANNER; STORAGE,,,,,,,,
DINAS PERIKANAN,DINAS PERIKANAN — Kota Batam,Kota Batam,DINAS PERIKANAN,"Kepulauan Riau, Batam (Kota)",LOCAL_AGENCY,30,402707820,June 2026; May 2026,AUDIO; DESKTOP; IT_HARDWARE; NETWORKING; OFFICE_FURNITURE; PRINTER; STORAGE,,,,,,,,
DINAS PEMBERDAYAAN MASYARAKAT DAN DESA,DINAS PEMBERDAYAAN MASYARAKAT DAN DESA — Kab. Bengkayang,Kab. Bengkayang,DINAS PEMBERDAYAAN MASYARAKAT DAN DESA,"Kalimantan Barat, Bengkayang (Kab.)",LOCAL_AGENCY,29,169041800,June 2026; May 2026,AUDIO; IT_HARDWARE; NETWORKING; OFFICE_FURNITURE,,,,,,,,
"Dinas Komunikasi, Informatika, Statistik dan Persandian","Dinas Komunikasi, Informatika, Statistik dan Persandian — Kota Bekasi",Kota Bekasi,"Dinas Komunikasi, Informatika, Statistik dan Persandian","Jawa Barat, Bekasi (Kota) | Jawa Barat, Bekasi (Kota) | Jawa Barat, Bekasi (Kota) | Jawa Barat, Bekasi (Kota)",LOCAL_AGENCY,28,9816545015,June 2026; May 2026,CCTV; DESKTOP; IT_HARDWARE; NETWORKING; SERVER; STORAGE,,,,,,,,
Bagian Umum,Bagian Umum — Kota Manado,Kota Manado,Bagian Umum,"Sulawesi Utara, Manado (Kota)",LOCAL_AGENCY,27,2785546152,June 2026; May 2026,AUDIO; CAMERA_VIDEO; IT_HARDWARE; NETWORKING; OFFICE_FURNITURE,,,,,,,,
Badan Perencanaan Pembangunan Daerah,Badan Perencanaan Pembangunan Daerah — Kab. Buleleng,Kab. Buleleng,Badan Perencanaan Pembangunan Daerah,"Bali, Buleleng (Kab.)",LOCAL_AGENCY,25,337635788,June 2026; May 2026,AUDIO; DESKTOP; IT_HARDWARE; LAPTOP; NETWORKING; PRINTER; STORAGE,,,,,,,,
DINAS PARIWISATA,DINAS PARIWISATA — Kota Solok,Kota Solok,DINAS PARIWISATA,"Sumatera Barat, Solok (Kota)",LOCAL_AGENCY,24,232484703,June 2026; May 2026,AUDIO; DESKTOP; IT_HARDWARE; OFFICE_FURNITURE,,,,,,,,
DINAS PERDAGANGAN DAN PERINDUSTRIAN,DINAS PERDAGANGAN DAN PERINDUSTRIAN — Kota Tanjung Pinang,Kota Tanjung Pinang,DINAS PERDAGANGAN DAN PERINDUSTRIAN,"Kepulauan Riau, Tanjung Pinang (Kota)",LOCAL_AGENCY,24,214835619,June 2026; May 2026,CCTV; IT_HARDWARE; OFFICE_FURNITURE,,,,,,,,
DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU — Kab. Aceh Tengah,Kab. Aceh Tengah,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU,"Aceh, Aceh Tengah (Kab.) | Aceh, Aceh Tengah (Kab.)",LOCAL_AGENCY,23,317224664,June 2026; May 2026,DESKTOP; IT_HARDWARE; LAPTOP; NETWORKING; OFFICE_FURNITURE; PRINTER,,,,,,,,
Badan Pengelolaan Keuangan dan Aset Daerah,Badan Pengelolaan Keuangan dan Aset Daerah — Kota Yogyakarta,Kota Yogyakarta,Badan Pengelolaan Keuangan dan Aset Daerah,"DI Yogyakarta, Yogyakarta (Kota)",LOCAL_AGENCY,22,1430540259,June 2026; May 2026,AUDIO; DESKTOP; IT_HARDWARE; NETWORKING; OFFICE_FURNITURE; PRINTER; STORAGE,,,,,,,,
Dinas Pemadam Kebakaran dan Penyelamatan,Dinas Pemadam Kebakaran dan Penyelamatan — Kab. Ogan Komering Ulu Selatan,Kab. Ogan Komering Ulu Selatan,Dinas Pemadam Kebakaran dan Penyelamatan,"Sumatera Selatan, Ogan Komering Ulu Selatan (Kab.)",LOCAL_AGENCY,21,1123040270,June 2026; May 2026,AUDIO; CAMERA_VIDEO; DESKTOP; IT_HARDWARE; OFFICE_FURNITURE; PRINTER,,,,,,,,
DINAS PERUMAHAN DAN KAWASAN PERMUKIMAN,DINAS PERUMAHAN DAN KAWASAN PERMUKIMAN — Kab. Bogor,Kab. Bogor,DINAS PERUMAHAN DAN KAWASAN PERMUKIMAN,"Jawa Barat, Bogor (Kab.)",LOCAL_AGENCY,21,765432071,June 2026; May 2026,AUDIO; DESKTOP; IT_HARDWARE; LAPTOP; NETWORKING; OFFICE_FURNITURE; PRINTER; SERVER,,,,,,,,
Dinas Pertanian dan Ketahanan Pangan,Dinas Pertanian dan Ketahanan Pangan — Kab. Situbondo,Kab. Situbondo,Dinas Pertanian dan Ketahanan Pangan,"Jawa Timur, Situbondo (Kab.) | Jawa Timur, Situbondo (Kab.)",LOCAL_AGENCY,20,644627159,June 2026; May 2026,AUDIO; CCTV; DESKTOP; IT_HARDWARE; LAPTOP; OFFICE_FURNITURE; PRINTER,,,,,,,,
DINAS PERINDUSTRIAN DAN PERDAGANGAN,DINAS PERINDUSTRIAN DAN PERDAGANGAN — Kota Denpasar,Kota Denpasar,DINAS PERINDUSTRIAN DAN PERDAGANGAN,"Bali, Denpasar (Kota)",LOCAL_AGENCY,20,615838100,June 2026; May 2026,AUDIO; CCTV; DESKTOP; IT_HARDWARE; OFFICE_FURNITURE,,,,,,,,
Dinas Pemberdayaan Perempuan dan Perlindungan Anak,Dinas Pemberdayaan Perempuan dan Perlindungan Anak — Kota Makassar,Kota Makassar,Dinas Pemberdayaan Perempuan dan Perlindungan Anak,"Sulawesi Selatan, Makassar (Kota)",LOCAL_AGENCY,19,236350468,June 2026; May 2026,CCTV; DESKTOP; IT_HARDWARE; LAPTOP; NETWORKING; OFFICE_FURNITURE; PRINTER,,,,,,,,
"Badan Perencanaan Pembangunan, Riset dan Inovasi Daerah","Badan Perencanaan Pembangunan, Riset dan Inovasi Daerah — Kota Metro",Kota Metro,"Badan Perencanaan Pembangunan, Riset dan Inovasi Daerah","Lampung, Metro (Kota)",LOCAL_AGENCY,19,129265100,June 2026; May 2026,DESKTOP; IT_HARDWARE; OFFICE_FURNITURE; PRINTER; SERVER,,,,,,,,
Dinas Syariat Islam Aceh,Dinas Syariat Islam Aceh — Aceh,Aceh,Dinas Syariat Islam Aceh,"Aceh, Aceh Besar (Kab.)",LOCAL_AGENCY,18,10638206700,May 2026,AUDIO; NETWORKING,,,,,,,,
BADAN PENANGGULANGAN BENCANA DAERAH,BADAN PENANGGULANGAN BENCANA DAERAH — Kab. Kepulauan Mentawai,Kab. Kepulauan Mentawai,BADAN PENANGGULANGAN BENCANA DAERAH,"Sumatera Barat, Kepulauan Mentawai (Kab.)",LOCAL_AGENCY,18,650607792,June 2026; May 2026,AUDIO; CAMERA_VIDEO; CCTV; DESKTOP; IT_HARDWARE; OFFICE_FURNITURE,,,,,,,,
"Dinas Pemuda, Olah Raga, dan Pariwisata","Dinas Pemuda, Olah Raga, dan Pariwisata — Kota Bontang",Kota Bontang,"Dinas Pemuda, Olah Raga, dan Pariwisata","Kalimantan Timur, Bontang (Kota)",LOCAL_AGENCY,18,476184200,June 2026; May 2026,AUDIO; CAMERA_VIDEO; DESKTOP; IT_HARDWARE; OFFICE_FURNITURE,,,,,,,,
Dinas Ketahanan Pangan,Dinas Ketahanan Pangan — Kab. Ogan Komering Ulu,Kab. Ogan Komering Ulu,Dinas Ketahanan Pangan,"Sumatera Selatan, Ogan Komering Ulu (Kab.)",LOCAL_AGENCY,17,617759703,June 2026; May 2026,DESKTOP; IT_HARDWARE; OFFICE_FURNITURE,,,,,,,,
Dinas Kependudukan Dan Pencatatan Sipil,Dinas Kependudukan Dan Pencatatan Sipil — Kab. Melawi,Kab. Melawi,Dinas Kependudukan Dan Pencatatan Sipil,"Kalimantan Barat, Melawi (Kab.)",LOCAL_AGENCY,17,468432000,June 2026; May 2026,DESKTOP; IT_HARDWARE,,,,,,,,
R S U D Dr. Abdul Rivai,R S U D Dr. Abdul Rivai — Kab. Berau,Kab. Berau,R S U D Dr. Abdul Rivai,"Kalimantan Timur, Berau (Kab.)",LOCAL_AGENCY,17,314254000,June 2026; May 2026,DESKTOP; IT_HARDWARE; LAPTOP; PRINTER; SCANNER,,,,,,,,
Dinas Pemberdayaan Masyarakat Dan Desa,Dinas Pemberdayaan Masyarakat Dan Desa — Kab. Lamongan,Kab. Lamongan,Dinas Pemberdayaan Masyarakat Dan Desa,"Jawa Timur, Lamongan (Kab.)",LOCAL_AGENCY,17,217830620,June 2026; May 2026,AUDIO; DESKTOP; IT_HARDWARE; OFFICE_FURNITURE,,,,,,,,
Dinas Kearsipan dan Perpustakaan,Dinas Kearsipan dan Perpustakaan — Kab. Jepara,Kab. Jepara,Dinas Kearsipan dan Perpustakaan,"Jawa Tengah, Jepara (Kab.) | Jawa Tengah, Jepara (Kab.)",LOCAL_AGENCY,17,136407800,June 2026; May 2026,AUDIO; DESKTOP; IT_HARDWARE; OFFICE_FURNITURE,,,,,,,,
BADAN KEUANGAN DAN ASET DAERAH,BADAN KEUANGAN DAN ASET DAERAH — Kab. Sleman,Kab. Sleman,BADAN KEUANGAN DAN ASET DAERAH,"DI Yogyakarta, Sleman (Kab.)",LOCAL_AGENCY,16,628171047,June 2026; May 2026,DESKTOP; IT_HARDWARE; LAPTOP; OFFICE_FURNITURE; PRINTER,,,,,,,,
DINAS PEMADAM KEBAKARAN DAN PENYELAMATAN,DINAS PEMADAM KEBAKARAN DAN PENYELAMATAN — Kota Denpasar,Kota Denpasar,DINAS PEMADAM KEBAKARAN DAN PENYELAMATAN,"Bali, Denpasar (Kota)",LOCAL_AGENCY,16,183879500,June 2026; May 2026,DESKTOP; IT_HARDWARE; OFFICE_FURNITURE; PRINTER,,,,,,,,
Dinas Pariwisata dan Kebudayaan,Dinas Pariwisata dan Kebudayaan — Kota Jambi,Kota Jambi,Dinas Pariwisata dan Kebudayaan,"Jambi, Jambi (Kota)",LOCAL_AGENCY,15,1357118496,June 2026; May 2026,AUDIO; DESKTOP; IT_HARDWARE; OFFICE_FURNITURE; PRINTER; UPS,,,,,,,,
DINAS PERIKANAN DAN PETERNAKAN,DINAS PERIKANAN DAN PETERNAKAN — Kab. Bogor,Kab. Bogor,DINAS PERIKANAN DAN PETERNAKAN,"Jawa Barat, Bogor (Kab.)",LOCAL_AGENCY,15,402939934,June 2026; May 2026,DESKTOP; IT_HARDWARE; OFFICE_FURNITURE,,,,,,,,
"Dinas Tenaga Kerja, Koperasi, Usaha Kecil dan Menengah","Dinas Tenaga Kerja, Koperasi, Usaha Kecil dan Menengah — Kab. Tebo",Kab. Tebo,"Dinas Tenaga Kerja, Koperasi, Usaha Kecil dan Menengah","Jambi, Tebo (Kab.)",LOCAL_AGENCY,15,266242300,May 2026,AUDIO; DESKTOP; IT_HARDWARE; NETWORKING; OFFICE_FURNITURE,,,,,,,,
"Dinas Perindustrian, Perdagangan, Koperasi, Usaha Kecil dan Menengah","Dinas Perindustrian, Perdagangan, Koperasi, Usaha Kecil dan Menengah — Kab. Kupang",Kab. Kupang,"Dinas Perindustrian, Perdagangan, Koperasi, Usaha Kecil dan Menengah","Nusa Tenggara Timur, Kupang (Kab.)",LOCAL_AGENCY,15,96023290,May 2026,AUDIO; CCTV; DESKTOP; IT_HARDWARE,,,,,,,,
Dinas Pemberdayaan Masyarakat dan Desa,Dinas Pemberdayaan Masyarakat dan Desa — Kab. Sukoharjo,Kab. Sukoharjo,Dinas Pemberdayaan Masyarakat dan Desa,"Jawa Tengah, Sukoharjo (Kab.)",LOCAL_AGENCY,14,491155926,June 2026; May 2026,DESKTOP; IT_HARDWARE; LAPTOP,,,,,,,,
Dinas Ketenagakerjaan,Dinas Ketenagakerjaan — Kota Makassar,Kota Makassar,Dinas Ketenagakerjaan,"Sulawesi Selatan, Makassar (Kota)",LOCAL_AGENCY,14,344972123,June 2026; May 2026,DESKTOP; IT_HARDWARE; NETWORKING; OFFICE_FURNITURE,,,,,,,,
"Dinas Komunikasi, Informatika dan Statistik","Dinas Komunikasi, Informatika dan Statistik — Kota Metro",Kota Metro,"Dinas Komunikasi, Informatika dan Statistik","Lampung, Metro (Kota)",LOCAL_AGENCY,14,204099700,June 2026; May 2026,AUDIO; CAMERA_VIDEO; DESKTOP; IT_HARDWARE; LAPTOP; NETWORKING; OFFICE_FURNITURE; PRINTER,,,,,,,,
DINAS KEARSIPAN DAN PERPUSTAKAAN,DINAS KEARSIPAN DAN PERPUSTAKAAN — Kab. Fak Fak,Kab. Fak Fak,DINAS KEARSIPAN DAN PERPUSTAKAAN,"Papua Barat, Fak-Fak (Kab.)",LOCAL_AGENCY,14,195323292,June 2026; May 2026,AUDIO; CAMERA_VIDEO; DESKTOP; IT_HARDWARE; OFFICE_FURNITURE; STORAGE; UPS,,,,,,,,
"Dinas Kepemudaan, Olahraga dan Pariwisata","Dinas Kepemudaan, Olahraga dan Pariwisata — Kab. Sumbawa",Kab. Sumbawa,"Dinas Kepemudaan, Olahraga dan Pariwisata","Nusa Tenggara Barat, Sumbawa (Kab.)",LOCAL_AGENCY,14,129672650,June 2026; May 2026,AUDIO; CCTV; DESKTOP; IT_HARDWARE; OFFICE_FURNITURE,,,,,,,,
Dinas Kebudayaan,Dinas Kebudayaan — Kota Makassar,Kota Makassar,Dinas Kebudayaan,"Sulawesi Selatan, Makassar (Kota)",LOCAL_AGENCY,14,118659600,June 2026; May 2026,AUDIO; CCTV; DESKTOP; IT_HARDWARE; OFFICE_FURNITURE,,,,,,,,
DINAS PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN,DINAS PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN — Kab. Mamberamo Raya,Kab. Mamberamo Raya,DINAS PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN,"Papua, Mamberamo Raya (Kab.)",LOCAL_AGENCY,14,100427451,June 2026; May 2026,DESKTOP; IT_HARDWARE; NETWORKING; OFFICE_FURNITURE,,,,,,,,
Badan Riset dan Inovasi Daerah,Badan Riset dan Inovasi Daerah — Kab. Klungkung,Kab. Klungkung,Badan Riset dan Inovasi Daerah,"Bali, Klungkung (Kab.)",LOCAL_AGENCY,13,429058800,June 2026; May 2026,DESKTOP; IT_HARDWARE; LAPTOP; PRINTER,,,,,,,,
Dinas Tenaga Kerja,Dinas Tenaga Kerja — Kab. Kediri,Kab. Kediri,Dinas Tenaga Kerja,"Jawa Timur, Kediri (Kab.) | Jawa Timur, Kediri (Kab.)",LOCAL_AGENCY,13,369306740,June 2026; May 2026,AUDIO; DESKTOP; IT_HARDWARE; OFFICE_FURNITURE; PRINTER,,,,,,,,
Dinas Perdagangan dan Perindustrian,Dinas Perdagangan dan Perindustrian — Kab. Musi Banyuasin,Kab. Musi Banyuasin,Dinas Perdagangan dan Perindustrian,"Sumatera Selatan, Musi Banyu Asin (Kab.)",LOCAL_AGENCY,13,177984568,June 2026; May 2026,AUDIO; CAMERA_VIDEO; DESKTOP; IT_HARDWARE; NETWORKING; OFFICE_FURNITURE,,,,,,,,
Dinas Perumahan Rakyat dan Kawasan Permukiman,Dinas Perumahan Rakyat dan Kawasan Permukiman — Kab. Sumbawa,Kab. Sumbawa,Dinas Perumahan Rakyat dan Kawasan Permukiman,"Nusa Tenggara Barat, Sumbawa (Kab.)",LOCAL_AGENCY,13,117199800,June 2026; May 2026,CCTV; IT_HARDWARE; SCANNER,,,,,,,,
DINAS PERINDUSTRIAN DAN TENAGA KERJA,DINAS PERINDUSTRIAN DAN TENAGA KERJA — Kab. Purbalingga,Kab. Purbalingga,DINAS PERINDUSTRIAN DAN TENAGA KERJA,"Jawa Tengah, Purbalingga (Kab.)",LOCAL_AGENCY,13,25422000,June 2026; May 2026,AUDIO; DESKTOP; IT_HARDWARE; OFFICE_FURNITURE,,,,,,,,
